period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-03-02T16,0.01%,47.20%,0.36%,9.82%,42.61%,12.68,14.49
2023-03-02T17,0.01%,32.44%,0.37%,9.86%,57.32%,9.68,11.32
2023-03-02T18,0.02%,26.19%,0.40%,10.63%,62.76%,8.65,10.34
2023-03-02T19,0.02%,27.75%,0.40%,10.70%,61.13%,8.96,10.66
2023-03-02T20,0.02%,29.84%,0.41%,10.91%,58.83%,9.49,11.25
2023-03-02T21,0.02%,31.37%,0.43%,11.48%,56.70%,9.98,11.83
2023-03-02T22,0.02%,33.76%,0.44%,11.75%,54.04%,10.52,12.42
2023-03-02T23,0.02%,31.15%,0.45%,12.08%,56.30%,10.08,11.99
2023-03-03T00,0.02%,35.06%,0.43%,11.54%,52.96%,10.72,12.61
2023-03-03T01,0.02%,42.50%,0.43%,11.67%,45.37%,12.30,14.30
2023-03-03T02,0.02%,55.15%,0.45%,12.06%,32.32%,15.03,17.24
2023-03-03T03,0.01%,59.39%,0.42%,11.28%,28.89%,15.68,17.84
2023-03-03T04,0.02%,59.63%,0.43%,11.48%,28.44%,15.83,18.03
2023-03-03T05,0.02%,59.88%,0.44%,11.75%,27.92%,15.96,18.20
2023-03-03T06,0.02%,61.07%,0.45%,12.09%,26.37%,16.31,18.61
2023-03-03T07,0.02%,59.82%,0.48%,12.67%,27.02%,16.23,18.59
2023-03-03T08,0.02%,61.01%,0.51%,13.67%,24.79%,16.73,19.21
2023-03-03T09,0.02%,62.24%,0.51%,13.77%,23.46%,17.01,19.52
2023-03-03T10,0.02%,62.58%,0.46%,13.84%,23.10%,16.66,18.99
2023-03-03T11,0.02%,63.13%,0.51%,13.79%,22.55%,17.20,19.72
2023-03-03T12,0.02%,62.34%,0.52%,13.89%,23.23%,17.12,19.66
2023-03-03T13,0.02%,58.11%,0.50%,13.39%,27.97%,16.09,18.52
2023-03-03T14,0.02%,59.00%,0.45%,12.07%,28.46%,15.83,18.09
2023-03-03T15,0.01%,53.65%,0.39%,10.77%,35.18%,14.29,16.30
2023-03-03T16,0.01%,46.33%,0.36%,9.77%,43.53%,12.48,14.28
2023-03-03T17,0.01%,32.17%,0.37%,10.07%,57.37%,9.68,11.35
2023-03-03T18,0.01%,27.10%,0.41%,10.96%,61.52%,8.90,10.62
2023-03-03T19,0.02%,28.69%,0.43%,11.59%,59.27%,9.42,11.24
2023-03-03T20,0.02%,31.50%,0.45%,11.99%,56.04%,10.12,12.03
2023-03-03T21,0.02%,32.16%,0.49%,12.81%,54.51%,10.60,12.66
2023-03-03T22,0.02%,30.55%,0.48%,12.89%,56.06%,10.24,12.27
2023-03-03T23,0.02%,30.43%,0.47%,12.60%,56.48%,10.09,12.05
2023-03-04T00,0.02%,33.48%,0.44%,11.72%,54.35%,10.45,12.34
2023-03-04T01,0.02%,44.04%,0.43%,11.63%,43.88%,12.60,14.62
2023-03-04T02,0.02%,57.42%,0.44%,11.76%,30.37%,15.41,17.61
2023-03-04T03,0.01%,57.73%,0.40%,10.90%,30.96%,15.21,17.31
2023-03-04T04,0.01%,60.87%,0.41%,10.93%,27.78%,15.91,18.06
2023-03-04T05,0.01%,61.06%,0.42%,11.08%,27.43%,16.00,18.17
2023-03-04T06,0.02%,64.66%,0.44%,11.78%,23.10%,16.96,19.27
2023-03-04T07,0.01%,67.19%,0.46%,12.22%,20.12%,17.61,20.01
2023-03-04T08,0.01%,64.76%,0.47%,12.48%,22.28%,17.19,19.59
2023-03-04T09,0.01%,64.73%,0.47%,12.55%,22.24%,17.20,19.61
2023-03-04T10,0.02%,66.88%,0.48%,12.86%,19.76%,17.70,20.15
2023-03-04T11,0.01%,67.52%,0.47%,12.81%,19.19%,17.81,20.26
2023-03-04T12,0.02%,66.76%,0.47%,12.77%,19.97%,17.65,20.09
2023-03-04T13,0.02%,66.15%,0.48%,12.97%,20.38%,17.58,20.04
2023-03-04T14,0.02%,63.61%,0.46%,12.28%,23.63%,16.85,19.19
2023-03-04T15,0.01%,59.76%,0.42%,11.30%,28.51%,15.75,17.92
2023-03-04T16,0.01%,45.63%,0.39%,10.56%,43.40%,12.57,14.46
2023-03-04T17,0.01%,38.09%,0.36%,10.06%,51.47%,10.79,12.49
2023-03-04T18,0.01%,29.93%,0.39%,10.84%,58.82%,9.37,11.08
2023-03-04T19,0.01%,34.53%,0.40%,10.92%,54.13%,10.39,12.18
2023-03-04T20,0.01%,34.21%,0.40%,10.76%,54.62%,10.28,12.04
2023-03-04T21,0.01%,32.56%,0.41%,11.17%,55.84%,10.06,11.86
2023-03-04T22,0.01%,31.39%,0.45%,12.16%,55.99%,10.11,12.01
2023-03-04T23,0.02%,33.65%,0.50%,13.59%,52.25%,11.00,13.11
2023-03-05T00,0.02%,33.30%,0.47%,12.77%,53.44%,10.73,12.76
2023-03-05T01,0.02%,43.85%,0.44%,12.07%,43.61%,12.66,14.72
2023-03-05T02,0.01%,51.40%,0.28%,11.05%,37.26%,12.89,14.47
2023-03-05T03,0.01%,54.26%,0.19%,10.51%,35.02%,12.77,14.09
2023-03-05T04,0.01%,56.52%,0.19%,10.74%,32.54%,13.23,14.58
2023-03-05T05,0.01%,56.11%,0.20%,10.94%,32.73%,13.21,14.59
2023-03-05T06,0.02%,55.38%,0.21%,11.30%,33.10%,13.12,14.51
2023-03-05T07,0.02%,58.34%,0.22%,11.87%,29.56%,13.81,15.27
2023-03-05T08,0.02%,59.95%,0.22%,12.25%,27.56%,14.16,15.64
2023-03-05T09,0.02%,59.51%,0.22%,12.66%,27.59%,14.12,15.63
2023-03-05T10,0.02%,59.24%,0.23%,13.14%,27.37%,14.14,15.67
2023-03-05T11,0.02%,58.65%,0.24%,13.46%,27.63%,14.06,15.60
2023-03-05T12,0.02%,58.95%,0.24%,13.70%,27.08%,14.16,15.72
2023-03-05T13,0.02%,57.29%,0.24%,13.48%,28.97%,13.78,15.31
2023-03-05T14,0.02%,54.80%,0.23%,12.95%,32.00%,13.19,14.66
2023-03-05T15,0.02%,52.32%,0.23%,12.90%,34.53%,12.67,14.10
2023-03-05T16,0.02%,46.25%,0.22%,12.68%,40.82%,11.38,12.72
2023-03-05T17,0.02%,36.94%,0.23%,12.81%,50.01%,9.48,10.71
2023-03-05T18,0.02%,36.18%,0.22%,12.66%,50.92%,9.25,10.45
2023-03-05T19,0.02%,36.87%,0.22%,12.68%,50.21%,9.44,10.67
2023-03-05T20,0.02%,37.18%,0.23%,12.75%,49.82%,9.56,10.81
2023-03-05T21,0.02%,37.23%,0.22%,12.65%,49.88%,9.51,10.74
2023-03-05T22,0.02%,35.87%,0.23%,12.86%,51.03%,9.26,10.48
2023-03-05T23,0.01%,36.57%,0.23%,12.89%,50.30%,9.41,10.64
2023-03-06T00,0.01%,38.53%,0.22%,12.24%,49.00%,9.72,10.94
2023-03-06T01,0.01%,44.57%,0.21%,11.99%,43.22%,10.94,12.21
2023-03-06T02,0.01%,51.70%,0.20%,11.23%,36.86%,12.30,13.62
2023-03-06T03,0.01%,53.22%,0.19%,10.60%,35.98%,12.53,13.83
2023-03-06T04,0.01%,54.84%,0.19%,10.75%,34.20%,12.92,14.27
2023-03-06T05,0.01%,55.21%,0.20%,10.79%,33.78%,13.00,14.36
2023-03-06T06,0.02%,57.15%,0.21%,11.37%,31.26%,13.49,14.90
2023-03-06T07,0.02%,56.87%,0.22%,11.98%,30.92%,13.52,14.97
2023-03-06T08,0.02%,56.72%,0.23%,12.54%,30.49%,13.57,15.06
2023-03-06T09,0.02%,61.69%,0.22%,12.39%,25.68%,14.58,16.12
2023-03-06T10,0.02%,64.69%,0.22%,12.51%,22.56%,15.17,16.73
2023-03-06T11,0.02%,63.82%,0.23%,12.89%,23.04%,15.05,16.62
2023-03-06T12,0.02%,60.22%,0.24%,13.58%,25.94%,14.40,15.97
2023-03-06T13,0.02%,58.71%,0.23%,12.96%,28.09%,14.00,15.51
2023-03-06T14,0.02%,58.18%,0.21%,11.94%,29.65%,13.75,15.19
2023-03-06T15,0.01%,55.60%,0.19%,10.54%,33.66%,13.01,14.34
2023-03-06T16,0.01%,47.06%,0.17%,9.35%,43.42%,11.07,12.22
2023-03-06T17,0.01%,37.15%,0.16%,9.17%,53.51%,8.96,9.97
2023-03-06T18,0.02%,40.59%,0.17%,9.75%,49.47%,9.79,10.89
2023-03-06T19,0.02%,42.18%,0.17%,9.75%,47.88%,10.12,11.24
2023-03-06T20,0.02%,44.00%,0.18%,9.97%,45.84%,10.53,11.68
2023-03-06T21,0.02%,41.66%,0.18%,10.30%,47.84%,10.09,11.23
2023-03-06T22,0.02%,39.72%,0.18%,10.35%,49.73%,9.70,10.82
2023-03-06T23,0.01%,40.40%,0.18%,10.25%,49.15%,9.83,10.95
2023-03-07T00,0.02%,42.54%,0.19%,10.79%,46.46%,10.35,11.53
2023-03-07T01,0.01%,51.72%,0.18%,10.65%,37.43%,12.19,13.46
2023-03-07T02,0.02%,55.57%,0.17%,10.10%,34.14%,12.91,14.19
2023-03-07T03,0.01%,56.18%,0.17%,9.41%,34.22%,12.97,14.24
2023-03-07T04,0.01%,57.54%,0.17%,9.75%,32.53%,13.26,14.55
2023-03-07T05,0.01%,58.05%,0.17%,10.15%,31.61%,13.39,14.69
2023-03-07T06,0.01%,61.75%,0.18%,10.62%,27.43%,14.25,15.65
2023-03-07T07,0.02%,62.78%,0.20%,11.72%,25.28%,14.62,16.09
2023-03-07T08,0.02%,64.07%,0.20%,12.16%,23.55%,14.91,16.40
2023-03-07T09,0.02%,60.62%,0.20%,12.35%,26.81%,14.18,15.62
2023-03-07T10,0.02%,61.57%,0.23%,12.71%,25.48%,14.56,16.09
2023-03-07T11,0.02%,59.44%,0.23%,13.11%,27.21%,14.17,15.70
2023-03-07T12,0.02%,59.04%,0.24%,13.40%,27.31%,14.13,15.67
2023-03-07T13,0.02%,58.63%,0.23%,13.01%,28.11%,13.99,15.51
2023-03-07T14,0.02%,60.92%,0.21%,11.65%,27.20%,14.31,15.79
2023-03-07T15,0.01%,60.26%,0.18%,10.21%,29.34%,13.96,15.34
2023-03-07T16,0.01%,49.93%,0.18%,9.69%,40.20%,11.75,12.97
2023-03-07T17,0.01%,37.82%,0.17%,9.67%,52.33%,9.17,10.21
2023-03-07T18,0.01%,33.93%,0.18%,10.13%,55.75%,8.50,9.55
2023-03-07T19,0.01%,38.59%,0.18%,10.21%,51.01%,9.44,10.54
2023-03-07T20,0.01%,38.34%,0.18%,10.51%,50.95%,9.40,10.49
2023-03-07T21,0.01%,40.01%,0.18%,10.51%,49.29%,9.74,10.86
2023-03-07T22,0.01%,39.97%,0.18%,10.52%,49.32%,9.74,10.85
2023-03-07T23,0.01%,40.06%,0.19%,10.84%,48.90%,9.80,10.94
2023-03-08T00,0.01%,40.89%,0.19%,10.74%,48.16%,9.96,11.10
2023-03-08T01,0.02%,44.32%,0.18%,10.53%,44.94%,10.64,11.81
2023-03-08T02,0.01%,51.65%,0.17%,10.10%,38.06%,12.09,13.33
2023-03-08T03,0.01%,53.19%,0.16%,9.39%,37.25%,12.31,13.53
2023-03-08T04,0.01%,53.91%,0.17%,9.65%,36.27%,12.50,13.73
2023-03-08T05,0.01%,53.95%,0.17%,9.82%,36.06%,12.53,13.78
2023-03-08T06,0.02%,56.17%,0.18%,10.24%,33.39%,13.08,14.40
2023-03-08T07,0.01%,55.97%,0.20%,11.06%,32.75%,13.20,14.58
2023-03-08T08,0.02%,57.25%,0.22%,12.01%,30.51%,13.60,15.06
2023-03-08T09,0.02%,56.21%,0.22%,12.31%,31.24%,13.43,14.89
2023-03-08T10,0.02%,59.56%,0.23%,12.46%,27.73%,14.15,15.66
2023-03-08T11,0.02%,59.61%,0.22%,12.27%,27.88%,14.13,15.63
2023-03-08T12,0.01%,57.60%,0.21%,12.04%,30.14%,13.64,15.08
2023-03-08T13,0.02%,56.48%,0.20%,11.57%,31.73%,13.34,14.74
2023-03-08T14,0.01%,52.77%,0.19%,10.64%,36.38%,12.48,13.79
2023-03-08T15,0.01%,50.56%,0.17%,9.69%,39.56%,11.85,13.06
2023-03-08T16,0.02%,44.57%,0.17%,9.40%,45.85%,10.56,11.69
2023-03-08T17,0.01%,36.95%,0.16%,9.30%,53.58%,8.97,9.99
2023-03-08T18,0.01%,35.37%,0.16%,9.09%,55.37%,8.62,9.60
2023-03-08T19,0.01%,38.41%,0.17%,9.53%,51.88%,9.31,10.36
2023-03-08T20,0.01%,37.40%,0.18%,9.95%,52.46%,9.20,10.28
2023-03-08T21,0.01%,37.58%,0.19%,10.56%,51.65%,9.29,10.39
2023-03-08T22,0.02%,37.27%,0.19%,10.89%,51.63%,9.23,10.34
2023-03-08T23,0.01%,35.19%,0.19%,10.96%,53.63%,8.85,9.95
2023-03-09T00,0.01%,36.04%,0.18%,10.35%,53.42%,8.90,9.96
2023-03-09T01,0.02%,40.67%,0.18%,10.46%,48.67%,9.88,11.00
2023-03-09T02,0.01%,53.44%,0.19%,10.54%,35.82%,12.56,13.87
2023-03-09T03,0.01%,55.38%,0.17%,9.74%,34.70%,12.85,14.13
2023-03-09T04,0.01%,56.16%,0.17%,9.82%,33.84%,12.99,14.26
2023-03-09T05,0.01%,54.35%,0.17%,10.12%,35.35%,12.65,13.92
2023-03-09T06,0.01%,56.07%,0.19%,10.64%,33.09%,13.12,14.46
2023-03-09T07,0.02%,59.93%,0.21%,11.84%,28.01%,14.09,15.55
2023-03-09T08,0.01%,61.63%,0.22%,12.51%,25.63%,14.54,16.06
2023-03-09T09,0.02%,64.65%,0.23%,13.01%,22.10%,15.24,16.83
2023-03-09T10,0.02%,67.77%,0.24%,13.41%,18.57%,15.94,17.59
2023-03-09T11,0.04%,70.48%,0.24%,13.39%,15.86%,16.50,18.19
2023-03-09T12,0.04%,69.67%,0.24%,13.37%,16.68%,16.38,18.07
2023-03-09T13,0.03%,65.66%,0.23%,13.01%,21.07%,15.45,17.05
2023-03-09T14,0.02%,62.73%,0.21%,11.90%,25.14%,14.68,16.18
2023-03-09T15,0.01%,57.07%,0.19%,10.97%,31.75%,13.37,14.75
2023-03-09T16,0.01%,53.19%,0.19%,10.55%,36.07%,12.51,13.81
2023-03-09T17,0.01%,43.24%,0.18%,10.25%,46.32%,10.41,11.57
2023-03-09T18,0.01%,38.23%,0.18%,9.95%,51.63%,9.33,10.41
2023-03-09T19,0.01%,41.92%,0.18%,10.20%,47.69%,10.13,11.27
2023-03-09T20,0.01%,41.20%,0.18%,10.46%,48.15%,10.02,11.16
2023-03-09T21,0.01%,42.39%,0.19%,10.70%,46.71%,10.30,11.47
2023-03-09T22,0.01%,44.00%,0.19%,10.99%,44.80%,10.68,11.89
2023-03-09T23,0.01%,43.66%,0.20%,11.02%,45.11%,10.61,11.82
2023-03-10T00,0.01%,45.70%,0.19%,10.89%,43.20%,11.01,12.24
2023-03-10T01,0.01%,52.80%,0.19%,10.70%,36.29%,12.46,13.76
2023-03-10T02,0.01%,59.14%,0.19%,10.63%,30.03%,13.76,15.13
2023-03-10T03,0.01%,58.59%,0.18%,10.40%,30.81%,13.61,14.97
2023-03-10T04,0.01%,58.59%,0.18%,10.41%,30.81%,13.61,14.97
2023-03-10T05,0.02%,56.95%,0.18%,10.54%,32.31%,13.25,14.58
2023-03-10T06,0.01%,57.79%,0.19%,10.96%,31.05%,13.48,14.85
2023-03-10T07,0.02%,58.68%,0.20%,11.55%,29.56%,13.75,15.16
2023-03-10T08,0.02%,57.40%,0.21%,12.34%,30.02%,13.60,15.04
2023-03-10T09,0.02%,59.02%,0.22%,12.35%,28.39%,13.98,15.46
2023-03-10T10,0.02%,61.99%,0.22%,12.75%,25.01%,14.60,16.13
2023-03-10T11,0.02%,59.78%,0.23%,12.89%,27.08%,14.21,15.73
2023-03-10T12,0.02%,58.73%,0.23%,12.72%,28.30%,13.97,15.47
2023-03-10T13,0.02%,53.88%,0.22%,12.60%,33.27%,12.95,14.38
2023-03-10T14,0.02%,55.50%,0.21%,11.81%,32.47%,13.17,14.58
2023-03-10T15,0.01%,54.87%,0.19%,11.05%,33.88%,12.89,14.23
2023-03-10T16,0.01%,53.58%,0.19%,10.74%,35.47%,12.58,13.88
2023-03-10T17,0.01%,51.05%,0.18%,10.30%,38.46%,12.03,13.29
2023-03-10T18,0.01%,48.40%,0.18%,10.21%,41.20%,11.47,12.69
2023-03-10T19,0.01%,46.61%,0.18%,9.74%,43.46%,11.07,12.25
2023-03-10T20,0.01%,47.15%,0.17%,9.75%,42.91%,11.15,12.33
2023-03-10T21,0.01%,49.66%,0.18%,10.33%,39.81%,11.75,13.00
2023-03-10T22,0.01%,49.18%,0.19%,7.80%,42.82%,11.70,12.96
2023-03-10T23,0.01%,48.83%,0.19%,7.60%,43.36%,11.67,12.94
2023-03-11T00,0.01%,52.02%,0.20%,8.07%,39.69%,12.41,13.75
2023-03-11T01,0.01%,57.92%,0.21%,8.48%,33.38%,13.70,15.14
2023-03-11T02,0.01%,60.61%,0.21%,8.31%,30.86%,14.22,15.68
2023-03-11T03,0.01%,59.83%,0.20%,8.05%,31.92%,14.00,15.43
2023-03-11T04,0.02%,59.42%,0.20%,8.06%,32.31%,13.92,15.34
2023-03-11T05,0.01%,58.48%,0.20%,8.09%,33.22%,13.73,15.15
2023-03-11T06,0.02%,58.65%,0.22%,8.47%,32.65%,13.89,15.36
2023-03-11T07,0.02%,57.82%,0.23%,9.04%,32.89%,13.84,15.35
2023-03-11T08,0.01%,56.69%,0.25%,9.77%,33.28%,13.76,15.31
2023-03-11T09,0.01%,57.75%,0.26%,10.08%,31.90%,14.04,15.64
2023-03-11T10,0.02%,57.25%,0.27%,10.59%,31.87%,14.04,15.68
2023-03-11T11,0.02%,57.23%,0.28%,10.76%,31.71%,14.08,15.73
2023-03-11T12,0.02%,56.39%,0.28%,11.00%,32.30%,13.95,15.62
2023-03-11T13,0.01%,55.07%,0.28%,10.90%,33.74%,13.66,15.30
2023-03-11T14,0.01%,54.29%,0.26%,10.21%,35.24%,13.30,14.85
2023-03-11T15,0.01%,51.53%,0.24%,9.74%,38.48%,12.64,14.11
2023-03-11T16,0.01%,45.74%,0.23%,9.22%,44.80%,11.33,12.69
2023-03-11T17,0.02%,40.52%,0.22%,8.57%,50.67%,10.17,11.42
2023-03-11T18,0.01%,35.69%,0.22%,8.55%,55.53%,9.16,10.35
2023-03-11T19,0.01%,35.78%,0.20%,7.96%,56.05%,9.01,10.14
2023-03-11T20,0.01%,32.48%,0.20%,7.85%,59.46%,8.35,9.44
2023-03-11T21,0.01%,30.76%,0.20%,7.78%,61.25%,7.98,9.05
2023-03-11T22,0.02%,32.03%,0.20%,8.03%,59.73%,8.26,9.34
2023-03-11T23,0.01%,30.32%,0.20%,7.96%,61.50%,7.89,8.95
2023-03-12T00,0.01%,33.61%,0.21%,8.21%,57.96%,8.66,9.80
2023-03-12T01,0.01%,38.38%,0.21%,8.04%,53.36%,9.61,10.80
2023-03-12T02,0.01%,50.30%,0.22%,8.49%,40.99%,12.17,13.54
2023-03-12T03,0.02%,53.57%,0.21%,8.16%,38.04%,12.78,14.16
2023-03-12T04,0.02%,52.41%,0.21%,8.01%,39.35%,12.51,13.87
2023-03-12T05,0.02%,51.90%,0.21%,8.25%,39.63%,12.45,13.82
2023-03-12T06,0.02%,54.21%,0.22%,8.69%,36.86%,13.02,14.46
2023-03-12T07,0.01%,57.33%,0.24%,9.28%,33.13%,13.79,15.32
2023-03-12T08,0.02%,61.76%,0.25%,9.71%,28.26%,14.80,16.41
2023-03-12T09,0.02%,58.81%,0.24%,9.69%,31.23%,14.15,15.71
2023-03-12T10,0.02%,60.37%,0.25%,10.29%,29.07%,14.51,16.12
2023-03-12T11,0.02%,59.65%,0.26%,11.52%,28.54%,14.46,16.10
2023-03-12T12,0.02%,61.00%,0.26%,12.57%,26.15%,14.73,16.38
2023-03-12T13,0.02%,60.32%,0.26%,13.37%,26.03%,14.56,16.19
2023-03-12T14,0.01%,57.40%,0.24%,13.20%,29.14%,13.85,15.40
2023-03-12T15,0.02%,53.58%,0.24%,12.77%,33.40%,13.01,14.48
2023-03-12T16,0.02%,37.78%,0.21%,11.43%,50.57%,9.53,10.73
2023-03-12T17,0.01%,23.92%,0.20%,11.09%,64.77%,6.60,7.60
2023-03-12T18,0.02%,23.00%,0.22%,11.78%,64.99%,6.50,7.52
2023-03-12T19,0.02%,27.07%,0.20%,11.47%,61.24%,7.26,8.29
2023-03-12T20,0.02%,28.89%,0.22%,11.97%,58.91%,7.74,8.85
2023-03-12T21,0.02%,29.68%,0.22%,11.82%,58.28%,7.88,8.99
2023-03-12T22,0.01%,29.30%,0.22%,12.15%,58.32%,7.85,8.97
2023-03-12T23,0.02%,27.69%,0.22%,12.18%,59.89%,7.53,8.63
2023-03-13T00,0.02%,31.73%,0.21%,11.66%,56.38%,8.28,9.40
2023-03-13T01,0.01%,37.12%,0.19%,11.01%,51.67%,9.22,10.33
2023-03-13T02,0.01%,47.23%,0.18%,10.93%,41.64%,11.26,12.48
2023-03-13T03,0.01%,50.98%,0.18%,10.41%,38.42%,12.00,13.25
2023-03-13T04,0.01%,52.37%,0.19%,10.72%,36.70%,12.37,13.68
2023-03-13T05,0.01%,54.89%,0.20%,11.21%,33.67%,13.01,14.39
2023-03-13T06,0.02%,54.69%,0.21%,11.97%,33.10%,13.04,14.45
2023-03-13T07,0.02%,56.85%,0.22%,12.90%,30.01%,13.57,15.05
2023-03-13T08,0.02%,53.14%,0.24%,13.04%,33.56%,12.93,14.40
2023-03-13T09,0.02%,51.80%,0.25%,12.46%,35.47%,12.71,14.19
2023-03-13T10,0.02%,57.29%,0.24%,11.35%,31.11%,13.82,15.37
2023-03-13T11,0.02%,60.81%,0.25%,10.57%,28.35%,14.58,16.18
2023-03-13T12,0.02%,58.68%,0.25%,10.04%,31.01%,14.13,15.70
2023-03-13T13,0.02%,60.98%,0.24%,9.57%,29.19%,14.52,16.09
2023-03-13T14,0.02%,61.49%,0.21%,8.21%,30.07%,14.39,15.86
2023-03-13T15,0.01%,58.61%,0.19%,7.57%,33.62%,13.68,15.06
2023-03-13T16,0.01%,46.19%,0.18%,7.10%,46.51%,11.01,12.20
2023-03-13T17,0.01%,37.52%,0.17%,6.90%,55.39%,9.18,10.24
2023-03-13T18,0.01%,35.59%,0.17%,6.82%,57.41%,8.76,9.79
2023-03-13T19,0.01%,35.59%,0.18%,7.00%,57.22%,8.80,9.85
2023-03-13T20,0.01%,37.02%,0.18%,7.23%,55.55%,9.14,10.23
2023-03-13T21,0.01%,35.21%,0.19%,7.58%,57.00%,8.84,9.94
2023-03-13T22,0.01%,32.28%,0.19%,7.55%,59.96%,8.23,9.29
2023-03-13T23,0.01%,32.84%,0.19%,7.65%,59.30%,8.33,9.39
2023-03-14T00,0.02%,34.84%,0.18%,7.44%,57.52%,8.70,9.77
2023-03-14T01,0.01%,41.27%,0.20%,7.93%,50.59%,10.17,11.37
2023-03-14T02,0.01%,52.66%,0.21%,8.27%,38.85%,12.59,13.96
2023-03-14T03,0.01%,57.58%,0.20%,7.86%,34.35%,13.52,14.92
2023-03-14T04,0.01%,58.45%,0.20%,8.06%,33.28%,13.74,15.17
2023-03-14T05,0.01%,60.46%,0.22%,8.51%,30.81%,14.25,15.73
2023-03-14T06,0.01%,64.87%,0.23%,9.11%,25.78%,15.29,16.88
2023-03-14T07,0.01%,64.81%,0.25%,9.87%,25.06%,15.43,17.09
2023-03-14T08,0.01%,66.23%,0.26%,9.98%,23.53%,15.80,17.51
2023-03-14T09,0.02%,67.27%,0.26%,10.36%,22.09%,16.04,17.78
2023-03-14T10,0.02%,68.11%,0.26%,10.43%,21.18%,16.23,17.98
2023-03-14T11,0.02%,65.46%,0.27%,10.67%,23.58%,15.73,17.47
2023-03-14T12,0.03%,64.45%,0.27%,10.57%,24.68%,15.51,17.22
2023-03-14T13,0.02%,64.50%,0.23%,9.48%,25.76%,15.24,16.85
2023-03-14T14,0.02%,62.45%,0.20%,8.02%,29.32%,14.52,15.98
2023-03-14T15,0.01%,58.43%,0.18%,7.40%,33.98%,13.57,14.92
2023-03-14T16,0.01%,56.48%,0.18%,7.15%,36.18%,13.12,14.42
2023-03-14T17,0.01%,56.58%,0.17%,6.89%,36.35%,13.08,14.37
2023-03-14T18,0.01%,55.39%,0.17%,6.83%,37.60%,12.83,14.09
2023-03-14T19,0.01%,55.72%,0.17%,6.70%,37.40%,12.87,14.13
2023-03-14T20,0.01%,55.24%,0.17%,6.82%,37.75%,12.79,14.06
2023-03-14T21,0.01%,54.32%,0.17%,6.97%,38.52%,12.60,13.85
2023-03-14T22,0.01%,53.67%,0.18%,7.38%,38.75%,12.58,13.87
2023-03-14T23,0.01%,54.92%,0.18%,7.47%,37.42%,12.86,14.17
2023-03-15T00,0.01%,55.65%,0.17%,7.35%,36.81%,12.91,14.19
2023-03-15T01,0.01%,60.57%,0.18%,7.40%,31.84%,13.97,15.33
2023-03-15T02,0.01%,62.74%,0.18%,7.18%,29.89%,14.42,15.80
2023-03-15T03,0.01%,62.04%,0.17%,6.99%,30.79%,14.23,15.59
2023-03-15T04,0.01%,63.67%,0.17%,7.06%,29.08%,14.58,15.97
2023-03-15T05,0.01%,64.05%,0.20%,7.45%,28.30%,14.85,16.33
2023-03-15T06,0.02%,61.81%,0.22%,8.27%,29.68%,14.57,16.09
2023-03-15T07,0.02%,63.55%,0.24%,8.90%,27.30%,15.06,16.66
2023-03-15T08,0.02%,65.07%,0.25%,9.37%,25.29%,15.48,17.14
2023-03-15T09,0.01%,64.19%,0.26%,9.72%,25.82%,15.37,17.05
2023-03-15T10,0.01%,65.50%,0.27%,10.13%,24.08%,15.73,17.47
2023-03-15T11,0.02%,63.80%,0.28%,10.60%,25.29%,15.48,17.24
2023-03-15T12,0.03%,60.03%,0.27%,10.25%,29.42%,14.62,16.30
2023-03-15T13,0.02%,65.81%,0.26%,9.84%,24.07%,15.68,17.37
2023-03-15T14,0.02%,60.77%,0.23%,8.69%,30.30%,14.40,15.92
2023-03-15T15,0.01%,59.74%,0.20%,7.71%,32.33%,14.01,15.46
2023-03-15T16,0.01%,55.92%,0.18%,7.27%,36.62%,13.05,14.38
2023-03-15T17,0.01%,47.47%,0.20%,7.21%,45.11%,11.41,12.67
2023-03-15T18,0.01%,42.22%,0.20%,7.22%,50.35%,10.36,11.57
2023-03-15T19,0.01%,39.28%,0.19%,7.30%,53.22%,9.66,10.79
2023-03-15T20,0.01%,40.07%,0.20%,7.46%,52.26%,9.89,11.07
2023-03-15T21,0.01%,39.57%,0.20%,7.41%,52.80%,9.79,10.95
2023-03-15T22,0.01%,40.15%,0.20%,7.54%,52.10%,9.89,11.06
2023-03-15T23,0.01%,38.00%,0.18%,7.38%,54.43%,9.34,10.43
2023-03-16T00,0.01%,39.69%,0.18%,7.12%,52.99%,9.64,10.73
2023-03-16T01,0.02%,40.29%,0.18%,7.42%,52.10%,9.82,10.94
2023-03-16T02,0.02%,48.28%,0.20%,7.80%,43.70%,11.62,12.92
2023-03-16T03,0.02%,53.69%,0.19%,7.36%,38.73%,12.65,13.97
2023-03-16T04,0.02%,55.04%,0.19%,7.51%,37.24%,12.96,14.31
2023-03-16T05,0.02%,56.68%,0.20%,7.76%,35.33%,13.35,14.75
2023-03-16T06,0.03%,56.15%,0.21%,8.14%,35.47%,13.32,14.74
2023-03-16T07,0.03%,60.44%,0.23%,8.82%,30.48%,14.40,15.95
2023-03-16T08,0.03%,62.12%,0.24%,9.04%,28.57%,14.79,16.39
2023-03-16T09,0.03%,64.91%,0.25%,9.35%,25.46%,15.44,17.10
2023-03-16T10,0.03%,68.31%,0.25%,9.53%,21.87%,16.18,17.90
