period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-13T05,0.02%,62.46%,0.44%,12.78%,24.30%,16.46,18.72
2023-01-13T06,0.02%,63.82%,0.47%,13.51%,22.18%,17.04,19.44
2023-01-13T07,0.03%,65.69%,0.49%,14.12%,19.67%,17.55,20.04
2023-01-13T08,0.03%,67.62%,0.53%,15.27%,16.56%,18.27,20.91
2023-01-13T09,0.03%,67.83%,0.58%,16.51%,15.06%,18.72,21.54
2023-01-13T10,0.03%,68.12%,0.60%,17.14%,14.10%,18.97,21.86
2023-01-13T11,0.03%,66.66%,0.63%,18.01%,14.66%,18.91,21.89
2023-01-13T12,0.03%,62.10%,0.66%,18.70%,18.50%,18.17,21.17
2023-01-13T13,0.03%,62.38%,0.62%,17.74%,19.22%,17.95,20.84
2023-01-13T14,0.03%,60.72%,0.55%,15.77%,22.93%,17.05,19.69
2023-01-13T15,0.03%,56.01%,0.50%,14.18%,29.29%,15.62,18.01
2023-01-13T16,0.02%,54.37%,0.45%,13.09%,32.06%,14.92,17.15
2023-01-13T17,0.03%,50.77%,0.45%,12.71%,36.04%,14.17,16.34
2023-01-13T18,0.03%,44.75%,0.42%,12.00%,42.81%,12.68,14.67
2023-01-13T19,0.02%,45.54%,0.40%,11.47%,42.57%,12.69,14.63
2023-01-13T20,0.02%,48.64%,0.42%,11.89%,39.03%,13.45,15.48
2023-01-13T21,0.02%,50.07%,0.42%,11.80%,37.70%,13.72,15.75
2023-01-13T22,0.02%,48.42%,0.42%,12.04%,39.10%,13.44,15.49
2023-01-13T23,0.02%,49.49%,0.43%,12.35%,37.71%,13.75,15.85
2023-01-14T00,0.02%,53.49%,0.46%,13.13%,32.91%,14.76,16.97
2023-01-14T01,0.02%,55.69%,0.46%,13.18%,30.65%,15.23,17.47
2023-01-14T02,0.02%,54.83%,0.45%,12.85%,31.86%,14.96,17.16
2023-01-14T03,0.02%,55.49%,0.46%,13.21%,30.83%,15.19,17.44
2023-01-14T04,0.02%,55.78%,0.47%,13.43%,30.31%,15.31,17.59
2023-01-14T05,0.02%,56.88%,0.49%,14.01%,28.60%,15.75,18.14
2023-01-14T06,0.02%,59.68%,0.49%,14.07%,25.73%,16.35,18.78
2023-01-14T07,0.01%,61.29%,0.49%,14.07%,24.13%,16.68,19.13
2023-01-14T08,0.01%,57.84%,0.56%,16.00%,25.59%,16.52,19.14
