period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-13T15,15.35%,26.72%,38.66%,0.00%,19.26%,7.89,27.11
2023-01-13T16,15.66%,26.74%,38.44%,0.00%,19.16%,8.02,27.59
2023-01-13T17,15.60%,26.09%,38.26%,0.00%,20.05%,7.97,27.44
2023-01-13T18,15.65%,27.17%,38.17%,0.00%,19.00%,8.04,27.62
2023-01-13T19,15.85%,26.88%,38.43%,0.00%,18.84%,8.11,27.91
2023-01-13T20,16.02%,27.12%,38.49%,0.00%,18.37%,8.20,28.21
2023-01-13T21,16.33%,27.61%,39.01%,0.00%,17.04%,8.39,28.84
2023-01-13T22,16.36%,28.07%,38.62%,0.00%,16.95%,8.39,28.84
2023-01-13T23,15.95%,28.52%,37.55%,0.00%,17.97%,8.24,28.24
2023-01-14T00,15.62%,29.66%,36.07%,0.00%,18.65%,8.15,27.82
2023-01-14T01,16.15%,27.96%,37.02%,0.00%,18.87%,8.30,28.50
2023-01-14T02,16.23%,28.06%,37.08%,0.00%,18.63%,8.34,28.64
2023-01-14T03,16.22%,27.63%,37.43%,0.00%,18.73%,8.31,28.57
2023-01-14T04,16.57%,28.36%,38.34%,0.00%,16.73%,8.49,29.20
2023-01-14T05,17.08%,29.33%,39.71%,0.00%,13.88%,8.76,30.12
2023-01-14T06,17.86%,28.71%,41.43%,0.00%,12.00%,9.07,31.30
2023-01-14T07,18.13%,30.94%,42.64%,0.00%,8.29%,9.29,31.95
2023-01-14T08,18.34%,31.87%,43.19%,0.00%,6.61%,9.43,32.37
2023-01-14T09,18.58%,31.88%,43.36%,0.00%,6.18%,9.53,32.75
2023-01-14T10,18.63%,31.82%,43.35%,0.00%,6.19%,9.55,32.84
2023-01-14T11,18.27%,31.06%,42.51%,0.00%,8.16%,9.36,32.19
2023-01-14T12,17.89%,30.85%,41.55%,0.00%,9.72%,9.18,31.56
