period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-09-29T12,12.27%,42.10%,9.91%,0.00%,35.73%,14.23,9.11
2023-09-29T13,12.74%,42.74%,9.82%,0.00%,34.70%,14.64,9.38
2023-09-29T14,11.55%,39.46%,9.56%,0.00%,39.43%,13.38,8.56
2023-09-29T15,10.79%,36.88%,8.94%,0.00%,43.38%,12.50,8.00
2023-09-29T16,12.54%,37.88%,8.34%,0.00%,41.25%,13.81,8.90
2023-09-29T17,12.76%,39.95%,7.82%,0.00%,39.47%,14.26,9.17
2023-09-29T18,13.04%,40.97%,7.42%,0.00%,38.57%,14.59,9.38
2023-09-29T19,13.40%,42.15%,7.08%,0.00%,37.37%,15.00,9.64
2023-09-29T20,14.25%,43.29%,6.86%,0.00%,35.60%,15.73,10.13
2023-09-29T21,13.95%,44.03%,6.73%,0.00%,35.29%,15.63,10.05
2023-09-29T22,13.82%,43.52%,6.67%,0.00%,36.00%,15.47,9.95
2023-09-29T23,13.50%,43.16%,6.75%,0.00%,36.59%,15.21,9.77
2023-09-30T00,14.06%,46.02%,7.04%,0.00%,32.88%,15.99,10.26
2023-09-30T01,16.08%,48.82%,7.39%,0.00%,27.71%,17.75,11.43
2023-09-30T02,15.04%,45.83%,7.59%,0.00%,31.54%,16.63,10.71
2023-09-30T03,13.02%,43.61%,7.92%,0.00%,35.46%,14.95,9.58
2023-09-30T04,13.48%,40.91%,8.36%,0.00%,37.25%,14.88,9.58
2023-09-30T05,14.67%,40.25%,8.84%,0.00%,36.24%,15.57,10.08
2023-09-30T06,14.40%,41.24%,9.41%,0.00%,34.95%,15.54,10.03
2023-09-30T07,14.86%,44.55%,9.94%,0.00%,30.66%,16.32,10.52
2023-09-30T08,15.11%,45.79%,10.28%,0.00%,28.82%,16.66,10.73
2023-09-30T09,14.87%,46.07%,10.58%,0.00%,28.49%,16.54,10.64
2023-09-30T10,14.97%,46.02%,10.81%,0.00%,28.20%,16.60,10.69
2023-09-30T11,14.10%,45.68%,10.88%,0.00%,29.33%,15.98,10.25
2023-09-30T12,13.64%,46.09%,10.81%,0.00%,29.47%,15.72,10.07
2023-09-30T13,13.02%,44.68%,10.71%,0.00%,31.59%,15.10,9.67
2023-09-30T14,11.96%,41.32%,10.24%,0.00%,36.48%,13.92,8.90
2023-09-30T15,10.12%,36.58%,9.52%,0.00%,43.78%,12.01,7.66
2023-09-30T16,11.70%,35.44%,8.72%,0.00%,44.14%,12.90,8.31
2023-09-30T17,13.79%,36.01%,8.13%,0.00%,42.07%,14.38,9.33
2023-09-30T18,13.68%,39.44%,7.68%,0.00%,39.20%,14.80,9.56
2023-09-30T19,14.58%,41.72%,7.39%,0.00%,36.31%,15.73,10.16
2023-09-30T20,14.98%,41.56%,7.17%,0.00%,36.28%,15.97,10.33
2023-09-30T21,14.93%,42.27%,7.01%,0.00%,35.79%,16.04,10.37
2023-09-30T22,14.97%,42.37%,6.95%,0.00%,35.72%,16.08,10.39
2023-09-30T23,14.92%,42.17%,7.02%,0.00%,35.88%,16.02,10.35
2023-10-01T00,16.10%,45.68%,7.32%,0.00%,30.90%,17.31,11.18
2023-10-01T01,17.15%,50.06%,7.67%,0.00%,25.12%,18.64,12.03
2023-10-01T02,16.96%,47.60%,7.94%,0.00%,27.50%,18.16,11.74
2023-10-01T03,15.79%,44.14%,8.28%,0.00%,31.79%,16.88,10.92
2023-10-01T04,13.84%,41.38%,8.72%,0.00%,36.06%,15.18,9.78
2023-10-01T05,13.26%,37.52%,9.20%,0.00%,40.02%,14.24,9.20
